Nom et nature,Conditionnement,PPV
"XAUTIS 15 MG, Comprimé orodispersible",Boite de 10,148.5
"LAMICTAL 25mg, Comprimé",Boîte de 30 comprimés,89.8
"PHIPIXA 20 MG, Comprimé pelliculé",Boite de 28,236
"TECPRIL 1,25 MG, Gélule",Boîte de 30,40
"NICOPASS SANS SUCRE MENTHE FRAICHEUR 2,5 MG, Pastille",Boite de 12 pastilles,85.5
"FITOPOLIS, Solution buvable enfants",Flacon de 150 ML,79.5
"URADOX 2 mg, Comprimé",Boîte de 30,76.5
"METHYLPREDNISOLONE MYLAN 120 MG, Poudre Solution injectable(IM-IV)",Boîte de 20 flacons,980
"ZYNARA 8MG, Comprimé",Boite de 30,160
"CURARTI FORTE, Comprimé",Boite de 30,149.5
"CO-ICARD 150 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,135
"DOLIPRANE 50 MG, Sachet",Boîte de 12,7.1
"TRULICITY1.5 MG, Solution injectable (SC) en stylo pré-rempli",Boite de 4,1171
"GLEMA 1 MG, Comprimé",Boîte de 30,20
"APROVEL 150 MG, Comprimé",Boîte de 14,87.1
"UMULINE NPH 100UI/ml , Suspension injectable",Flacon de 10 ML,166
"DOZYL 10 MG, Comprimé pelliculé",Boite de 28,479
"MIMPARA 90 MG, Comprimé pelliculé",Boite de 28,4477
"ROCEPHINE 250 MG IM, Poudre lyophilisée",1 flacon,58.8
ISO-BK 150 mg/300 mg Comprimé,Boîte de 100,
"DOLOSTOP 150 MG, Sachet",Boite de 24,15.8
"TAVANIC 500 MG, Solution pour perfusion",Flacon de 100 ml,373
"NEWGLIN 1MG, Comprimé",Boite de 30,52.5
"NAVIBLEF, Mousse pour paupières",Flacon de 50 ML,90
"IBUPHIL 400 MG, Comprimé pélliculé",Boite de 20,20
COLOPATHIL ADULTEulte 3 g Sachet,Boîte de 30,23.8
"ACIDE EM, Soluté concentré pour hémodialyse",Bidon de 10 litres,144
"MEPACYL 0,10 G , Solution pour usage dentaire",F/14 ml,
"ACIDAC 150 MG, Comprimé",Boîte de 30,60
"NEORAL 100 mg, Capsule molle",Boîte de 60 capsules molles dosées à 100 mg,1837
"NURSIE 2EME AGE, Lait",Boite de 900G,115
LACINE 50 mg Comprimé enrobé sécable,Boîte de 15,89.7
"NUVIVAX 10 MG, Comprimé enrobé",Boite de 2,72
"CORTANCYL 5 MG, Comprimé",Boîte de 30,22.8
"DERMOVAL 0,05%, Crème",Tube de 10 G,17.4
"METHOTREXATE MYLAN 5G , Solution injectable",1 flacon de 200 ml,1392
"CO-AVEPRO 150 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,70
"SYNTOCINON 5 UI /1 ML, Solution injectable",Boîte de 3 Ampouless de 1 ml,17.2
"DOXORUBICINE EBEWE 50 MG, Solution injectable pour perfusion",Flacon,313
"FLAMMAZINE 0,01 , Crème",Boîte de 1 Tube de 50 g,66.8
"DECADRON 0.5 MG , Comprimé",Boîte de 40,33.6
"AUGMENTIN 500 MG / 125 MG, Poudre pour suspension buvable",POUDRE POUR SUSPENSION BUVABLE,145.05
"DULASTAN, Comprimé",Boite de 20 comprimés dosés 500mg en paracétamol et 2mg de thiocolchicoside,37
"EXFORGE 5 MG / 80 MG, Comprimé pelliculé",Boîte de 28,296
"STILNOX 10 MG, Comprimé pelliculé sécable",Boîte de 20,56.6
"METROZAL 500 MG, Ovule",Boîte de 10,28
"ONDANSETRON NORMON 4 MG / 2ML, Solution injectable",Boite de 50 ampoules de 2 ML,1775
"VOGASET 8 MG, Comprimé pelliculé sécable",Boite de 10,322
"ANEXATE 0,5 MG / 5 ML, Solution injectable IV",Boîte de 5 ampoules de 5 ml,948
"HIBERIX, Préparation injectable",Boîte de 1 seringue préremplie,173.4
"GENTAMEN 10 mg, Solution Injectable",Boîte de 1,6.7
SOLUTION POUR DIALYSE PÉRITONÉALE BIEFFE FORMULE 55,Poche de 5000 ml,
EAU P.P.I. 10 ml,Boîte de 100,
"LETROZOLE GT 2,5 MG, Comprimé pelliculé",Boîte de 30,713
"ANDOL 3%, Solution buvable",Flacon de 90 ML,17.5
"DOLMAX 500 MG, Comprimé",Boîte de 20,10
"MONONITRIL 20 MG, Comprimé",Boîte de 60,49.5
"AUGMENTIN 100 MG / 12,5 MG, Poudre pour sirop enfant",Flacon 60 ml,70.6
"ATIAF 100MG, Comprimé",Boite de 10,11.6
"INDOPHARM 100 mg, Suppositoire",Boîte de 10,21.2
"XERIUM 20 MG, Comprimés",Boite de 14 comprimés sécables,70
"AVT 500 MG, Comprimé",Boîte de 20,9
ZANTAC 75mg Comprimé pelliculé,Boîte de 10,47.7
"ANDOL C 500 MG / 300 MG, Comprimé effervescent",Boîte de 10,16
"STREPTOCID 1G, Comprimé",Boîte de 12,55
"VIARECT 25 MG, Comprimé pelliculé",Boite de 2,44
"NOVOCINE 500 MG, Comprimé pelliculé",Boite de 7,100.1
"BRUFEN 400 mg, Comprimé enrobé",Boîte de 30,35.3
"TRIAXON 1 G / 10 ML IV, Solution Injectable",Boîte de 10,802
"MEFSAL 7,5 MG, Comprimé",Boite de 20,54.6
"DOSTINEX 0.5 MG, Comprimé",Flacon en verre contenant 2 comprimés.,156.6
"RAZON 40 MG, Comprimé enrobé gastrorésistant",Boîte de 7,52.5
"VIRTAL 20 MG, Comprimé pelliculé",Boite 8,409
"OXYMAG, Comprimé effervescent",Boite de 20,82
"RACIPER 40 MG, Comprimé",Boite de 7 ( Sous forme de comprimé MUPS).,69.8
"PROSPAN, Sirop",Flacon de 200 ML,52.2
"CLOPRAME 10 MG, Comprimé",Boîte de 40,17.3
"CEPAVIR 400 MG, Comprimé pelliculé",Boite de 56,979
"PRE BIOMIL, Lait",Boite de 400G,90
"CHEMOSET 8 MG, Comprimé pelliculé",Boîte de 10,357
"STREPTOCID 500 MG, Gélule",Boîte de 12,34.6
"SEDATIF PC, Comprimé",Boîte de 40,45.5
"FLAGYL 250 MG, Comprimé",Boîte de 20,25.1
"VASCOR LM 35 MG, Comprimé",Boîte de 90,146
"COVERAM 10 MG / 10 MG, Comprimé",Boite de 30,294
"EXACYL 500 MG, Comprimé pelliculé",Boîte de 20,53.2
"PHARMADIPINE 20 MG, Capsule",Boîte de 25,63.5
ISO-BK 150 mg/100 mg Comprimé,Boîte de 100,171.35
"CO-VARTEX 80 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,148
"OKA-PACLITAXEL /30 MG, Solution à diluer pour perfusion",Flacon de 5 ml,527
"IRPHI PLUS 300 MG / 12.5 MG , Comprimé pelliculé",Boite de 30,169.3
"PEVARYL 0,01 , Solution",Boîte de 1 Flacon pulvérisateur de 30 g,66.3
"EUVAX B 20 µG/1 ML, SUSPENSION INJECTABLE",1 flacon,117
"SURVANTA, Suspension pour inhalation endotrachéobronchique",F/4ml,
"VOGALENE 0,1 %, Solution buvable",Flacon de 150ml,28.1
"IPPSIUM 20 MG, Gélule gastro résistante",Boite de 14,86.9
"AMOXICILLINE LLORENTE 500 MG, Gélule",Boîte de 12,46.6
"AMPICILLINE PHARMA 250 MG, Poude et solvant pour solution injectable",Boîte de 1 Flacon de poudre et 1 ampoule de solvant,8
"PIROXAM 20 mg , Suppositoire",Boîte de 10,
"AMAREL 3 MG, Comprimé",Boîte de 60,166.9
"ALFASPORINE 250 MG / 5 ML, Poudre pour suspension buvable",Flacon de 60 ml,
"BETADINE 5,5 %, Bain de bouche",Flacon de 125 ml,21.3
"CICLOVIRAL 5 %, Crème",Tube de 10 g,59.1
"BUCCOTHYMOL 0,100 g - 0,100 g/100ml , Solution pour bain de bouche",Flacon de 150 ml,18.9
"ADRENALINE 0,50 MG, Ampoule injectable",Boîte de 10 ampoules de 1 ml,20.6
HUMEX TAMPON 42.11 g /42.11 g /11.58 g Tube,1 tampon Irégné en Tube polypropylène,19
"AUREOMYCINE THERAPLIX 3%, Pommade dermique",Tube de 15 g,9
"CARTREX 100 MG, COMPRIMÉ",Boite de 20 comprimés pelliculés,54.2
"STIMUPHINE, sirop",Flacon de 125 ml,85
"CRIXIVAN 400 MG, Gelule",Boite de 180 gélules,1043
"CO-ARAPRO 150 MG / 12.5 MG, Comprimé pelliculé",Boite de 30,145.5
"FLUCONAZOLE GT 2 MG / ML, Solution pour perfusion",Boîte d'un Flacon de 50 ml,143
"VARTEX 160 MG, Comprimé pelliculé",Boite de 28,180.6
"RISPERDAL 2 MG, Comprimé pelliculé",Boîte de 60,577
"VFEND 50 MG, Comprimé",Boîte de 28,1943
LUDEAL Gé Comprimé enrobé,Boite de 1 plaquette de 21,
"IRINOTECAN MYLAN 20 MG / ML, Solution à diluer pour perfusion injectable",1 flacon de 2 ML,455
"REDUS 75 MG, Comprimé pelliculé",Boite de 28,160
"DIPROSONE 0,05%, Pommade",Tube de 15 g,24.2
"SALBUTAMOL IVAX CFC-FREE 100 ?g, Suspension pour inhalation",Boite de 200 doses,41.5
NEOCLAV Nourrissons Sirop,Flacon de 30 ml,38
"ABILIFY 10 MG, Comprimé",Boîte de 28,1200
"UVIMAG B6 500 mg/125 mg , Solution buvable",20 ampoules de 10 ml,48.7
"BIOMOX 500 MG, GÉLULE",Boîte de 24,69.3
"CANDESSAR RANBAXY 16 MG, Comprimés",Boite de 14,79
"SERTAM 50 MG, Comprimé pelliculé",Boite de 60,201
"DROPIRAZ 0.02 MG / 3MG, Comprimé pelliculé",Boite de 28 ( 24 comprimés actifs et 4 placebos ),92.2
"OKA-PACLITAXEL / 100 MG, Solution à diluer pour perfusion",Flacon de 20 ML,1115
"HYZAAR 50mg/12.5 mg, Comprimé pelliculé",Boîte de 14,86.9
"LABIXTEN 20 MG, Comprimé",Boite de 30,99.7
"PROPESS 10 MG, Système de diffusion vaginal dans un sachet",Boite de 5,2370
"GRAN 34 MUI, Soluté injectable,",Flacon de 1 ml,846
"XYLONOR 15 G / 0,15 G, Solution pour usage dentaire",Flacon pulvérisateur 36 G,448
HUMEX EXPECTORANT ENF-NOUR 2 % Sirop,Flacon de 125 ml,12.7
"CLOFENE 1%, Emulsion gélifiée",Tube de 30 g,27.5
"CLARITYNE 5 MG/5 ML, Sirop",Flacon 120 ml,64.9
"ERY 500 MG, Comprimé",Boîte de 20,90.5
"SPIRIVA 18 µG, Gélule et inhalateur",Boite de 30,571
"ZOTROL 100 MG, Comprimé sécable",Boîte de 14,25
"COSTARVAL 160 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,131.4
"NURAX, Solution buvable",Flacon de 200 ML,84
"FOLINATE DE CALCIUM AGUETTANT 50 MG, Poudre injectable",Boîte de 10 flacons,677
"ASTAPH 500 MG, Gélule",Boîte de 24,90.8
"MYCOSPOR 1%, Crème",Tube de 15g,64
"RIFASONE Pommade DERMIQUE 1% ,",Tube de 5g,10.5
"ENANTONE LP 11,25 mg Poudre pour suspension injectable à libération prolongée",Boîte de 1 flacons de 9 ml,
"GEMSOL 2000 MG / 50 ML, Solution à diluer",Un flacon,983
"AMOVAS 10 MG, Comprimé",PPV: 80.50 dhs,
"LOSCITA 10 MG, Comprimé pelliculé sécable",Boite de 14,69.8
DUOFILM Solution pour application locale,Flacon de 15 ml,66.4
"SALBUMOL 0,5 MG / ML, Solution injectable",Boîte de 6,25.6
"CUROSURF 120 MG, Suspension pour instillation endotracheobronchique","Flacon de 1,5 ML",4205
"MODECATE 25 mg/ml, Soluté Injectable I/M,",Boîte de 3 Ampoules de 1 ml,76.6
"SAPHIR 1 G / 125 MG, Sachet",Boite de 12 sachets,88
"ZUCAM, GRANULÉS",Boite de 10 sachets,20
"ISOLONE 5 MG, Comprimé",Boîte de 30,22
"CATEX 750 MG, Comprimé",Boîte de 10,345
"EXODERIL 0,01 , Crème",Tube de 15g,39.6
"FLUMAX 8000 UI ANTI-Xa/0,8ml Solution injectable en seringue pré-remplie",Boite de 2 seringues de 1 ml,158.4
"ORVASC 5 MG, Comprimé orodispérsible",Boite de 10,76
"VOLTARENE 12,5 MG, Suppositoire",Boîte de 10,11.7
"COLTRAMYL 4 mg , Comprimé",Boîte de 12,49.4
"ANGINIB 50 MG, Comprimé",Boîte de 28,80
"PARANTAL 150 MG, Sachet",Boîte de 16,15.8
"AMLOR 5 MG, Comprimé",Boîte de 28,89.2
"GLOMERID LP 1,5 MG, Comprimé",Boite de 10,11.1
"ALZOLE 20 MG, Gélule",Flacon de 7,25
"NURABOL 4 mg , Comprimé",Boîte de 30,15.2
"BELMAZOL 20 MG, Gélule",Boite de 7 gélules,22.5
"OEDES 20 MG, Gélule",Boîte de 28,99
"TRITAZIDE 10 MG / 12,5 MG, Comprimé sécable",Boîte de 28,63.3
"UMAX 400 µg, Gélule",Boîte de 30,121.4
"LOXEN 10 MG / 10 ML Solution Injectable du I.V ,",Boîte de 5 Ampoule Injectable de 10 ml,110.2
"LOSARTAN GT 100 MG, Comprimé pelliculé",30 comprimés,172
"TRIACEPHINE PHARMA5 1G IV, Poudre pour solution injectable",1 Flacon de poudre et 1 ampoule de solvant,106.8
"DESYAL 5MG, Comprimé pelliculé",Boite de 30,79.8
"AMODEX 1G IM, Injectable",Boîte de 1 ampoule,14.1
"TRAMAL 200 MG, Comprimé libération prolongée",Boite de 30,112.7
"APTA JUNIOR 3 AGE, Lait",Boite de 400G,69
"ACTACEPT 5 MG, Comprimé pelliculé",Boite de 30,250
MORIDIL Suppositoire,Boîte de 12,17.35
"MELOXAM 7,5MG, COMPRIMÉ",Boite de 28 comprimés,70
OXACIL PHARMA 5 500 MG GELULE,BOITE DE 24,
"VIRTAL 20 MG, Comprimé pelliculé",Boite 4,247
"GENTAMEN 160 mg, Solution Injectable",Boîte de 6,125
"BLINDAM 500 MG / 62.5 MG, Sachet",Boîte de 14,
HEXAPNEUMINE Suppositoire NOURRISSON,Boîte de 6,12.95
"AVAZAR 50 MG, Comprimé",Boite de 7,23.4
"TERLOMEXIN 200 mg, Capsule molle vaginale",Boîte de 3,52
"DOLIPRANE 200 MG, Suppositoire",Boîte de 10,11.7
"CHLORURE DE SODIUM 0,9% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Twist Off en PVC plastifié, 500 ml",20.5
"OLAMID COOPER 2 % + 0.5 %, Collyre en solution",Flacon de 5 ml,99.8
VACCIN BCG 1X105 et 33X105 CFU DE BCG VIVANT Poudre et solvant pour suspension,Boîte de 1 Flacon de lyophilysat +1 Flacon de solvant,65.5
"OSMOLAX, Solution buvable",Flacon de 200 ml,36
"ALLERGODIL 0,05 %, Collyre",Flacon 6 ml,76.6
"MIFLASONE 200 µg, Poudre en gélule pour inhalation",Boîte de 60 gélules avec inhalateur,71.4
"STABLON 12,5 MG, Comprimé enrobé",Boîte de 30,116.5
"CHLORURE de Sodium 0,9% Solution Injectable",Poche de 500 ml,21
"XATRAL 2,5mg, Comprimé pelliculé",Boîte de 30,104.8
"AVT 500 MG, Comprimé effervescent",Boîte de 20,20.5
SCANDICAINE 20mg/ml adrenalinée au 1/100000 Solution injectable,Solution injectable Boîte de 50 cartouches de 1 ml,
"TRINORDIOL, Comprimé enrobé",Boîte de 21,31.5
HUMEX EXPECTORANT AD 5 % Sirop,Flacon de 200 ml,30.5
"ORELOX 100 MG, Comprimé",Boîte de 10,115.3
"FERIVINE 20 MG / ML, Solution injectable",Boite d'une ampoule de 5 ML,61.2
"VIRTAL 20 MG, Comprimé pelliculé",Boite de 2,140.6
"VISIPAQUE 270 MG IODE / ML, Solution injectable",Flacon de 100 ML,282
"ALFASPORINE 125 MG / 5 ML, Poudre pour suspension buvable",Flacon de 60 ml,
"SPECTRUM 500 MG, Comprimé pelliculé",Boîte de 10,89
"HEMO-PUR AG6, Solution concentrée acide pour hémodialyse",Bidon de 10000 ML,107.3
RODAL 250 mg/5 ml P.P.S.,Flacon de 60 ml,32
"CIVASTINE 40 MG, Comprimé pelliculé",Boite de 90,414.9
"CEPAVIR 600 MG, Comprimé pelliculé",Boite de 56,1339
"CONECTOR 15 MG, Comprimé orodispersible",Boite de 112,720
"GYNOSTEN SOIN, Solution pour lavage externe",Flacon de 200 ml,77
"REDLIP 20 MG, Comprimé pelliculé",Boîte de 60,250
"ZEPHIRUS 240 µg / 20 µg, poudre pour inhalation en gélules",Boite de 60 gélules,391
"MEDIZAPIN 2.5 MG, Comprimé",Boîte de 10,52.1
"CIPROXINE 250 MG, Comprimé pelliculé",Boîte de 10,110.5
"DIENILLE 2 MG / 0.03 MG, Comprimé pelliculé",Boite de 21 comprimés pelliculés,72
KETALGIC LP 100mg Gélule,Boîte de 14,42
"COERIL 8MG, Comprimé sécable",Boite de 30,160
"NIFROZID 200 mg, Gélule",Boîte de 16,13.2
"OXYFLOW 125 µg / 25 µg / dose, Suspension pour inhalation",Flacon pressurisé de 120 doses avec embout buccal,142
"CONECTOR 10 MG, Comprimé orodispersible",Boite de 56,264
"OZURDEX 700 µG, Implant intravitréen avec applicateur",Boite unitaire,10656
"NOLIP 10 MG, Comprimé pelliculé",Boite de 10,59.7
"AUGMENTIN 100 MG / 12,5 MG, Poudre pour sirop nourrisson",Flacon 30 ml,39.1
"ALFAMOX 1 G, Poudre pour suspension buvable en sachet",Boîte de 14,65
"AUGMENTIN 1 G / 125 MG, Sachet",Boite de 24,222
"MEGASFON 150 MG / 150 MG, Suppositoire",Boîte de 8,19.6
"ARIXTRA 5 MG / 0,4 ML, Seringue pré-remplie",Boîte de 2,398
"GLIMEPIRIDE WIN 4 mg , Comprimé",Boîte de 30,84
"ERLUS 5 MG, Comprimés pelliculé",Boite de 7,22
"AZITHROMYCINE WIN 500 MG, Comprimé pelliculé",Boite de 3,60
"FACTEUR VIII DE COAGULATION HUMAIN-CNTS 100 UI / ml - 1000 UI/10 ML, Poudre et solvant pour solution injectable",Boite de poudre plus un flacon de solvant,2950
INTRALGIS 100 mg/5 ml suspension buvable,Flacon de 150 ml,22
"SOLUPRED 1 MG / ML, Solution buvable",Flacon de 50 ml,27
"IMUSPORIN 25 mg, Capsule molle",Boîte de 50,1691
"FENOGAL 200 MG , Gélule",Boîte de 30,110
"VIARECT 25 MG, Comprimé pelliculé",Boite de 4,77.4
"RÉMOX 20 MG, Comprimé dispersible",Boîte de 10,41.7
"COSYREL 5 MG / 10 MG, Comprimé pelliculé sécable",Boite de 30,98.1
PENICILLINE G GALENICA 1 M UI Injectable,1 Flacon,7.65
"PHYSIOLAC 1ER AGE, Lait",Boite de 400G,68.5
"RISPERIDONE GT 1 MG, Comprimé",Boite de 20,65
"CHOLESTIN 10 MG, Comprimé",Boîte de 28,85
"INHIBACE 5 MG, Comprimé enrobé",Boîte de 28,179.9
"Dr Rougier, Pastilles voies respiratoires plantain",Boite de 12,39
"ENALAPRIL HYDROCHLOROTHIAZIDE GT 20 MG / 12.5 MG, Comprimé sécable",Boite de 30,71.5
"TRIAXON 500 MG / 5 ML IV, Solution Injectable",Boîte de 10,458
"GLEMA 4 MG, Comprimé",Boîte de 30,80
"TIAFALAM 200 MG, Comprimés",Boite de 20 comprimés,36
"GARDENAL 40 MG / 2 ML, Lyophilisat pour usage parentéral",Boîte de 1 Ampoule de 2 ml,82.7
"MOPRAL 20 MG, Gélule",Boîte de 14,131.1
"FASIGYNE 500 MG, Comprimé enrobé",Boîte de 4,25.4
"GO-ON , Injectable",Boite de 3 seringues pré-remplies,995
"CICADERMA, Pommade",Tube de 30g,43.4
"AQUINEX 400 MG, Comprimé pelliculé",Boite de 5,197
"MAZAX 500 MG, Comprimé peliculé",Boite de 3,60
"SK-F 203 , Solution concentrée acide pour hémodialyse au bicarbonate",Bidon de 10 litres,240
BIOSEL Poudre en sachet,Boîte de 3,12.2
"SYNNAX 100 MG, Comprimé",Boîte de 60,324
"NEOMOX 500 MG/5 ML, Poudre pour suspension buvable",Flacon de 60 ml,37.7
"GEMRESEC 1000 MG, Poudre pour solution pour perfusion",1 flacon de 50 ML,970
"CHELATON 500 MG, Comprimé dispersible",Boite de 28,2605
"ACTICARBINE 70 MG, Comprimé dragéifié",Boîte de 42,24.5
"INTETRIX , Gélule",Boîte de 40,60
"BIOMIL PLUS 1ER AGE, Lait",Boite de 400G,64
"NEUPOGEN 30 MU, Solution injectable","Seringue pré-remplie de 1 ml,",909
"DETENSIEL 10 MG , Comprimé pelliculé",Boîte de 30,72
"PERNABOL, Sirop",Flacon de 125 ml,13.5
"CAMPTO 100 MG /5 ML, Solution pour perfusion",Flacon de 5 ml,1313
"CIPROFLOXACINE NORMON 200 MG, SOLUTION INJECTABLE",1 poche de 200 ML,87.6
"ECOCLAV 1G / 125 MG , Sachet",Boite de 12,87.9
"RANIMAT 150 mg , Comprimé",Boîte de 60,105
"POTASSIUM 15% Sirop ,",Flacon 125 ml,24.6
"RIVABIR 200MG, Gélule",Boite de 84 gélules,906
"RIBOMICIN 0,3 g , Collyre monodose","Boîte de 5 Flacons de 0,5 ml",21.55
"ASTAPH 500 MG, Gélule",Boîte de 12,50
"VIALEBEX 200 MG / ML, Solution pour perfusion",Flacon de 50 ML,693
"AMAREL 2 MG, Comprimé",Boîte de 60,115.7
"SYNNAX 100 MG, Comprimé",Boîte de 30,196
"ARGININE VEYRON, Solution buvable en ampoule",Boîte de 20,33.9
"RÉMOX 1%, Crème",Tube de 50 g,38.75
"O-LINE 10 MG, Comprimé orodispersible",Boite de 14,149.5
"OCET 200 MG, Comprimé",Blister de 10 comprimés enrobés,58.9
"BACTALL 500 MG, Comprimé enrobé",Boîte de 10,57.9
"ALGOTROPYL 400 MG, Suppositoire",Boîte de 10,10.1
"ACLAV 1 G / 125 MG, Sachet",Boîte de 12,99
"PRIMPERAN 0,001 , Solution buvable",Boîte de 1 Flacon de 130 ml,21.9
"FER SP 20 MG / ML, Solution pour perfusion",Boite de 5 ampoules,244
REGULAX Sachet,Boîte de 20,56.5
ZIACAINE 2 % SPECIALE Solution injectable,"Boite 50 cartouches 1,8 ml",297
"TRIMEDAT 0,787 %, Suspension","Flacon de 152,5 g de Granule",30.8
"DOLMAX FT 500mg, Comprimé orodispersible",Boîte de 20,26.7
"PRISDAL 4 MG, Comprimé pelliculé",Boîte de 30,517
MUCOCIL 5 % Sirop ADULTE,Flacon de 125 ml,19.45
"NEOMOX 250 MG, Comprimé dispersible",Boîte de 24,46.9
"CORTOFTAL, Collyre",Flacon de 5 ml,24.5
"COLPOTROPHINE 10 mg , Capsule vaginale",Boîte de 10,33.8
"RHUMIX400 MG / 300 MG / 200 MG / 60 MG / 25 MG / 4 MG, Sachet",Boîte de 10,22
AVAXIM160,Boîte d'une seringue d'une dose,306
"LAROXYL 40 MG / ML, Solution buvable en gouttes",Flacon de 20 ml,39.8
"DIAMICRON 60 MG, Comprimés",Boite de 15 comprimés sécables dosés à 60 Mg à libération modifiée,25
"CAELYX 2mg/ml, Solution pour perfusion",Boîte de 1 flacon de 10 ml,
"GADOVIST 1,0 MMOL / ML, Solution injectable",Flacon de 15 ml,1344
"PIPERACILLINE TAZOBACTAM MYLAN 4 G / 500 MG, Poudre pour solution injectable (IM-IV) 0",Boîte de 10 flacons,166
"OLICLINOMEL N7-1000 E, Emulsion et Solution pour perfusion",Poche de 1 litre,406
"NORMIX 200 MG, Comprimé pelliculé",Boite de 12,71.6
"POLYZAPIN 10 MG, Comprimé",Boite de 10,114.3
"LESCOL Gélule du 20 mg , Gélule",Boîte de 28,225.3
"COCCIDIN 2%, Crème",Tube de 15 G,28
"TIAZEM , Comprimé",Boîte de 50,137.7
"TERBINAFINE GT 250 MG, Comprimé sécable",Boîte de 14,142
"ULTRAVIST 370 MG / ML, Solution injectable,",Flacon de 20 ml,129.8
ISO-BK 150 mg Comprimé,Boîte de 100,
"LYRICA 75 MG, Gélule",Boite de 14,107.3
"TRAJENTA 5 MG, Comprimé pelliculé",Boite de 28,374
"CONTIFLO OD 0.4 MG, Gélule",Boite de 10,53.6
"DOLIPRANE 100 MG, Suppositoire",Boîte de 10,8.6
"VIAGRA 100 MG, Comprimé",Boîte de 1,80
"OFLOCET 200 mg, Comprimé pelliculé sécable",Boîte de 10,109.6
"HEMO-PUR AG, Solution concentrée acide pour hémodialyse avec bicarbonate",Transcuve de 1000 litres,6178
"PROPOFOL MYLAN 1 G / 50 ML, Emulsion Injectable (IV)",Flacon de 50 ml,421
"VELCADE 3,5 MG, poudre pour solution injectable",Flacon de 10 ml,10834
"CIRCULEX, Comprimé",Boite de 30,129
"ELUDRIL , Solution pour bain de bouche",Boîte de 1 Flacon de 90 ml,17.7
"ESAC 20 MG, Microgranules gastrorésistants en gélule",Boîte de 28,160.6
"HUMER 150, Hygiène du nez, enfants et nourrisson",Flacon pulvérisateur de 150 ml,96
"ACTAPULGITE 3 G, Poudre pour suspension buvable",Boîte de 30 Sachets,23.8
"ALFAFERONE 6 MUI / ML, Solution injectable",Flacon de 1 ml,273
"ARACYTINE 500 MG, Ampoule Injectable",Boîte de 1 Flacon de en verre Injectable,232
EPHEDRYL Comprimé,Boîte de 20,17.2
"OFTACINE 0.5, Collyre",Flacon de 5 ML,58.6
"KALEST 10 MG, Comprimé",Boite de 7,15
"RANPIROLE 0,25 MG, Comprimé",Boite de 21,33.3
FURAL 100 mg Comprimé,Boîte de 30,
GLIDIABET 5 mg Comprimé,Boîte de 60,45.5
"XYZALL 5 MG , Comprimé pelliculé",Boîte de 14,45.2
"DOLIPRANE 170 MG, Suppositoire",Boîte de 10,9.2
"TRINOMYC 2 MG / ML, Solution pour perfusion",Flacon de 400 mg/200 ml,455
LUDEAL Gé Comprimé enrobé,Boite de 3 plaquette de 21,
"KARHLA 0.02 MG / 3 MG, Comprimé pelliculé",Boite de 21,87.2
"MINALFENE 300 mg, Comprimé",Boîte de 15,53.4
"GLUCOSE 5% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Twist Off en PVC plastifié, 1000 ml",28
"SICCAFLUID 2,5mg/g Gel ophtalmique",Flacon de 10ml,38.5
"OLIPLAT 100 MG, Poudre pour perfusion",Boîte de 1 Flacon,2206
"STREPTOCID 250 MG, Comprimé dispersible",Boîte de 12,32.6
"MEZOR 40 MG, Gélule",Boite de 28,215
"ADANCOR 20 MG, Comprimé sécable",Boite de 30,138.6
"PLAREL 75 MG, Comprimé pelliculé",Boite de 14,110
"CLAIRYG 50MG/ML, Solution pour perfusion",1 boite de 1 flacon de 20 ML,838
"TIM-87 0,50 %, Collyre",Flacon de 3 ml,42.2
"PNEUMOVAX 23 25µG / DOSE, Suspension injectable",Boite d'une seringue pré-remplie de 0.5 ML,293
MICROPHYLLINE 300 mg Gélule,Boîte de 30,33.2
"NIVESTIM 48 MU / 0.5 ML, Injectable","Boite de 5 seringues pré-remplies de 0,5 ML",1998
"SEROQUEL 25 MG, Comprimé",Boite de 60 comprimés,150.6
"IRBESAR SUN150MG , COMPRIMÉ",Boite de 14 comprimés,64.8
BRONCHOKOD 5 % Sirop Adulte,Flacon de 300 ml,42.6
"FLUMAX 4000 UI ANTI-Xa/0,4ml Solution injectable en seringue pré-remplie",Boite de 2 seringues de 1 ml,110.2
"PROGAST 20 MG, Gélule",Boîte de 14,52.8
"LEVOPHTA 0,05 % , Collyre",Flacon de 5 ml,75
"ALFAMOX 125 MG/5ML, Poudre pour suspension buvable",2 flacons de 60 ML,26.6
"FLUVIC 2% Enf et Nourr, Solution buvable",Flacon de 125ml,16.3
"SYNNAX 25 MG, Comprimé",Boîte de 60,133.7
"SEPTAZIDE 200 mg , Gélule",Boîte de 16,13.45
"NEOMOX 250 MG/5 ML, Poudre pour solution buvable",Flacon de 60 ml,28
"ENDOXAN 50 MG, Comprimé enrobé,",Boîte de 50,87.2
"EXACYL 1G /10 ML, Solution buvable",Boîte de 5 ampoules,37.4
"TROPHIRES ADULTES, Suppositoire",Boîte de 8,12.9
"COTIPRED 20 MG, Comprimé effervescent",Boîte de 20,48.5
